candle_end_time,strategy_amp_adjust,strategy_net,small_net,excess_return
2023-03-10,-0.007563156691644313,0.9924368433083557,1.0,-0.007563156691644313
2023-03-13,0.006463280167223973,0.9988512406749329,1.006463280167224,-0.007612039492291056
2023-03-14,-0.008904079131812792,0.989957390187054,0.9975016514773511,-0.007544261290297172
2023-03-15,0.005694108904213291,0.9955943153773098,1.003181534512996,-0.007587219135686163
2023-03-16,-0.013463959361505351,0.982189673974524,0.9896747391001003,-0.00748506512557634
2023-03-17,0.006896883365163697,0.9889637215983944,0.9965004103451226,-0.007536688746728193
2023-03-20,-0.0036923046269218274,0.9853121662732788,0.9928210272692758,-0.007508860995997013
2023-03-21,0.012065085674214826,0.9972000419752121,1.0047994980224415,-0.007599456047229447
2023-03-22,0.00562324031646666,1.0028075374548293,1.0104497270696868,-0.00764218961485752
2023-03-23,0.005745072234592641,1.0085687391949012,1.0162548337411266,-0.007686094546225375
2023-03-24,0.000688164635546995,1.0092628005337334,1.016954184378411,-0.007691383844677491
2023-03-27,0.00023801532461176222,1.009503020546821,1.0171962350587211,-0.007693214511900193
2023-03-28,-0.005019028614583587,1.0044362960001878,1.0120908980483148,-0.007654602048126957
2023-03-29,-0.0031842363735202772,1.00123793341158,1.0089690583032707,-0.007731124891690699
2023-03-30,0.0,1.00123793341158,1.0130990691887019,-0.01186113577712189
2023-03-31,0.0,1.00123793341158,1.0217440126220267,-0.02050607921044678
2023-04-03,0.0,1.00123793341158,1.0336683003811715,-0.03243036696959156
2023-04-04,-0.0010224960652293058,1.0002141715643083,1.0328773285895119,-0.032663157025203615
2023-04-06,0.0012398696724744696,1.00145430678161,1.0341579618646162,-0.03270365508300621
2023-04-07,0.007421216430702371,1.0088863159376953,1.0418326719231477,-0.03294635598545237
2023-04-10,-0.008344787746131677,1.0004673737712184,1.0331387994089638,-0.03267142563774539
2023-04-11,0.0016153443234527831,1.0020834730642394,1.0348076743039278,-0.032724201239688444
2023-04-12,0.0035138657850009025,1.0056046598939548,1.0384438495847208,-0.032839189690766046
2023-04-13,-0.006020511623986535,0.9995504053499282,1.0321918863174386,-0.032641480967510406
2023-04-14,0.004125520561533591,1.0036740710994887,1.0364502151678894,-0.03277614406840068
2023-04-17,0.004380422737819245,1.0080705878218925,1.0409903052570284,-0.03291971743513589
2023-04-18,-0.0014531896293179525,1.0066056700980492,1.0394775489412085,-0.03287187884315923
2023-04-19,-0.005098333169789582,1.00147365902129,1.03417794607419,-0.03270428705289996
2023-04-20,-0.0008124083991297715,1.0006600534091938,1.0333377712246046,-0.032677717815410734
2023-04-21,-0.025240643025676968,0.9754027502110375,1.0073563970558812,-0.0319536468448437
2023-04-24,0.0,0.9754027502110375,1.0006254412944584,-0.0252226910834209
2023-04-25,0.0,0.9754027502110375,0.9860197077505969,-0.01061695753955938
2023-04-26,0.0,0.9754027502110375,0.9898878610254229,-0.014485110814385416
2023-04-27,0.0,0.9754027502110375,0.9924313190662944,-0.017028568855256943
2023-04-28,0.0,0.9754027502110375,1.0058575007563781,-0.030454750545340636
2023-05-04,0.0,0.9754027502110375,1.0092652919776017,-0.033862541766564225
2023-05-05,0.0,0.9754027502110375,0.9993032924355947,-0.023900542224557175
2023-05-08,0.0,0.9754027502110375,1.0070402275208707,-0.03163747730983324
2023-05-09,0.0,0.9754027502110375,0.9963056287669732,-0.020902878555935644
2023-05-10,0.0,0.9754027502110375,0.9949895074035775,-0.019586757192539994
2023-05-11,0.0,0.9754027502110375,0.9918727765250132,-0.01647002631397565
2023-05-12,0.0,0.9754027502110375,0.981747889558684,-0.006345139347646467
2023-05-15,0.0,0.9754027502110375,0.9926654566442653,-0.017262706433227804
2023-05-16,0.0,0.9754027502110375,0.9848391083374461,-0.00943635812640864
2023-05-17,0.0,0.9754027502110375,0.9866481144438953,-0.011245364232857824
2023-05-18,0.0,0.9754027502110375,0.9876351410012498,-0.012232390790212322
2023-05-19,0.0,0.9754027502110375,0.9858473761756215,-0.010444625964583953
2023-05-22,0.0,0.9754027502110375,0.9855624077936225,-0.010159657582584969
2023-05-23,0.0,0.9754027502110375,0.9754276093039969,-2.4859092959350626e-05
2023-05-24,0.0,0.9754027502110375,0.9679112257574414,0.007491524453596132
2023-05-25,0.0,0.9754027502110375,0.9650743060455023,0.010328444165535244
2023-05-26,0.0,0.9754027502110375,0.9726159115984951,0.002786838612542364
2023-05-29,0.0,0.9754027502110375,0.9710319695942186,0.004370780616818948
2023-05-30,0.0,0.9754027502110375,0.976858607639844,-0.0014558574288064952
2023-05-31,0.0,0.9754027502110375,0.9746818114957522,0.0007209387152853353
2023-06-01,0.0,0.9754027502110375,0.9752713779107666,0.00013137230027093771
2023-06-02,0.0,0.9754027502110375,0.9839351451802059,-0.008532394969168355
2023-06-05,0.0,0.9754027502110375,0.9826277588503496,-0.0072250086393120805
2023-06-06,0.0,0.9754027502110375,0.9643058326059107,0.011096917605126766
2023-06-07,0.0,0.9754027502110375,0.9648845366360442,0.010518213574993274
2023-06-08,0.0,0.9754027502110375,0.9615221450264081,0.013880605184629413
2023-06-09,0.0,0.9754027502110375,0.9685222429651512,0.0068805072458862915
2023-06-12,0.0,0.9754027502110375,0.9714440633351817,0.003958686875855766
2023-06-13,0.0,0.9754027502110375,0.9740750328744275,0.0013277173366099682
2023-06-14,0.0,0.9754027502110375,0.9740813988121547,0.0013213513988827863
2023-06-15,0.0,0.9754027502110375,0.9825796678169889,-0.007176917605951405
2023-06-16,0.0,0.9754027502110375,0.9908320182299827,-0.015429268018945175
