candle_end_time,50_open,50_close,50_amp,300_open,300_close,300_amp,500_open,500_close,500_amp,1000_open,1000_close,1000_amp,chuang_open,chuang_close,chuang_amp,50_mom,300_mom,500_mom,1000_mom,chuang_mom,pos,trade_time,strategy_amp_adjust,50_net,300_net,500_net,1000_net,chuang_net,strategy_net
2010-07-06,1793.25,1826.4,0.015987450352124455,2504.87,2562.9,0.01999880604143045,3556.19,3665.33,0.02846616608864494,3617.51,3738.74,0.030725417598262084,859.26,893.72,0.03647349438111047,-0.03627681186185794,-0.06329493289669885,-0.09587098142817319,-0.0878674766400741,-0.10483879045262867,empty,2010-07-06,,1.0,1.0,1.0,1.0,1.0,
2010-07-07,1822.33,1829.56,0.0017301795882609383,2561.11,2580.48,0.006859417066604312,3672.15,3718.66,0.01454984953605809,3742.8,3795.59,0.015205657520983129,896.53,908.55,0.016593563979769854,-0.03425268547599569,-0.059725476335360406,-0.09057649369165799,-0.08171135621883563,-0.11592129845866428,empty,,0.0,1.001730179588261,1.0068594170666043,1.014549849536058,1.0152056575209831,1.0165935639797699,1.0
2010-07-08,1837.24,1828.13,-0.0007816086928004173,2591.51,2575.92,-0.0017671130952380265,3729.24,3698.34,-0.005464333926736953,3801.14,3773.37,-0.005854162330494184,912.0,905.51,-0.00334599086456433,-0.013613113480381411,-0.044440817295564705,-0.09189037880257434,-0.08404901422946776,-0.1533095832515171,empty,,0.0,1.0009472185720543,1.0050801826056421,1.0090060103728724,1.0092624788030193,1.0131920512017185,1.0
2010-07-09,1830.29,1870.3,0.023067287337333653,2578.55,2647.1,0.027632845740550804,3699.31,3807.6,0.029542984149645513,3772.33,3886.27,0.029920203955615232,903.5,932.15,0.029419884926726425,0.013641315246080143,-0.01935287885186754,-0.07342334011466611,-0.07040821696303412,-0.12650517734151723,empty,,0.0,1.0240363556723608,1.0328534082484684,1.038815058944215,1.0394598180135555,1.0430000447567471,1.0
2010-07-12,1868.42,1887.67,0.009287280115489516,2647.42,2676.22,0.011000717766612489,3809.75,3849.52,0.011009559827713122,3886.43,3934.18,0.012328016324135938,931.54,930.17,-0.002124121654240252,-0.010084430227070174,-0.03806795512790573,-0.08603284044179804,-0.08270652148569557,-0.13698947876268763,empty,,0.0,1.0335468681559352,1.0442155370868937,1.0502519554855907,1.05227429561831,1.0407845857763056,1.0
2010-07-13,1867.31,1859.15,-0.015108573002696413,2649.66,2634.59,-0.015555522341212491,3816.46,3788.75,-0.015786383756935973,3901.66,3878.64,-0.014117300174369185,924.95,931.08,0.0009783157917371277,-0.007828927004728259,-0.04197424018734408,-0.10295082122469845,-0.09754576675011872,-0.166803880158929,empty,,0.0,1.017931449846693,1.0279722189706972,1.0336722750748228,1.0374190235212932,1.0418028017723673,1.0
2010-07-14,1863.75,1873.04,0.0074711561735201215,2640.93,2653.61,0.007219339631593602,3795.21,3824.05,0.00931705707687236,3882.4,3916.17,0.009676072025246008,929.75,922.36,-0.009365468058598614,-0.005395072217502128,-0.03815330189534116,-0.08907813244402096,-0.0843951799567001,-0.17807877383710569,empty,,0.0,1.0255365746824354,1.0353934995512897,1.0433030586604755,1.0474571647132458,1.0320458309090095,1.0
2010-07-15,1870.37,1840.67,-0.01728206551915601,2650.33,2608.52,-0.016991946819615578,3817.18,3735.4,-0.02318222826584382,3907.59,3816.8,-0.025374281504633278,920.05,892.56,-0.03230842621102392,-0.022028233968960698,-0.04893299741498436,-0.0988700292383552,-0.09801159861421604,-0.16178956462942784,empty,,0.0,1.0078131844064826,1.0178001482695385,1.0191169690041553,1.0208786917517667,0.9987020543346908,1.0
2010-07-16,1834.0,1839.22,-0.0007877566320959595,2597.0,2616.13,0.0029173631024490554,3713.66,3757.43,0.005897628098731067,3793.09,3841.83,0.0065578495074407606,885.07,892.3,-0.000291296943622843,-0.016917263091502766,-0.02968655537299203,-0.054089706441372676,-0.05553698122298867,-0.10794977406326234,empty,,0.0,1.0070192728865528,1.020769440867767,1.0251273418764477,1.0275734605776279,0.9984111354786733,1.0
2010-07-19,1822.44,1878.53,0.021373190809147236,2592.09,2682.47,0.025358067068532497,3718.13,3842.31,0.022589908527903324,3805.5,3930.96,0.023199881306564807,881.66,908.05,0.0176510142328814,-0.02849060311746876,-0.03531176051728724,-0.059874921091651157,-0.05717903946888725,-0.12754611837048424,empty,,0.0,1.0285424879544458,1.0466541808108,1.0482848747588893,1.051413042896805,1.0160341046412746,1.0
2010-07-20,1880.25,1909.97,0.01673649076671646,2685.46,2741.5,0.022005837903126713,3849.04,3951.36,0.028381364335516857,3939.44,4053.19,0.031094185644219285,909.54,937.02,0.031903529541324804,-0.010378238341968937,-0.015166755277111088,-0.040866855028982574,-0.03665895808129904,-0.09466666666666668,empty,,0.0,1.045756679807271,1.0696866830543525,1.0780366297168331,1.0841058752413915,1.0484491787136911,1.0
2010-07-21,1912.2,1914.33,0.002282758367932347,2744.7,2747.34,0.0021302206821083303,3953.77,3959.43,0.002042334791059197,4051.57,4059.38,0.0015271921622228568,940.1,941.25,0.004514311327399545,0.00036579694089233783,-0.004045676998368664,-0.03300468669481782,-0.03475186242875439,-0.10129470849962752,empty,,0.0,1.0481438896189224,1.0719653517499708,1.08023834143174,1.08576151323708,1.0531822047173611,1.0
2010-07-22,1906.93,1933.88,0.010212450308985543,2738.03,2781.29,0.01235740752873693,3947.99,4017.86,0.014757174643825088,4047.94,4125.25,0.016226615887155127,938.22,950.21,0.00951925630810102,0.010043611103857097,0.008627379873073382,-0.0189070859450734,-0.019643956263323048,-0.09555492099752516,empty,,0.0,1.0588480070083224,1.0852120644582308,1.0961796072932042,1.1033797482574343,1.0632077160631965,1.0
2010-07-23,1937.37,1945.45,0.00598279107286892,2787.52,2793.08,0.004239040157624663,4020.91,4015.47,-0.0005948440214443851,4129.55,4131.47,0.0015077874068238906,951.84,960.59,0.010923901032403371,0.015418260774253456,0.02075437910455391,-0.0032171342185417506,-0.002014585210432407,-0.054797890345180456,empty,,-5.999999999994898e-05,1.0651828734121769,1.0898123219790081,1.0955275514073766,1.1050434103468014,1.0748220919303586,0.99994
2010-07-26,1948.63,1951.87,0.0033000077102982583,2798.76,2811.05,0.006433757715496924,4023.06,4071.09,0.013851429596037468,4136.44,4188.47,0.013796542150856794,962.76,966.15,0.005788109391103413,0.021670060246954836,0.03469916592436628,0.027694894203535103,0.03337618024321598,-0.021947096160270574,300,2010-07-26,0.004330970543802604,1.0686979851073148,1.096823910413984,1.110702174156215,1.1202891883361776,1.081043279774426,1.00427071068557
2010-07-27,1945.04,1936.07,-0.008094801395584716,2803.75,2795.72,-0.005453478237669285,4062.25,4068.86,-0.0005477648492172582,4179.4,4184.58,-0.0009287400888631225,963.54,957.97,-0.00846659421414886,0.05620717496617633,0.0785873565790387,0.0888096805441827,0.09702789640500509,0.04889905946502293,300,,-0.005513151028974983,1.0600470871660095,1.0908424050879861,1.110093770547263,1.1192487308558499,1.0718905249966433,0.9987340145835844
2010-07-28,1937.86,1983.63,0.02456522749693968,2796.48,2863.72,0.024322893565879244,4061.02,4162.32,0.022969578702634053,4173.59,4266.85,0.019660276539103183,955.19,972.53,0.015198805808114946,0.09043983046654702,0.11730073700679244,0.13586176407983697,0.1431154809585684,0.057891244520346774,1000,2010-07-28,0.022283934061500643,1.0860873850197108,1.117374848804089,1.1355921567771523,1.1412534704205162,1.0881819809336257,1.0209897375095427
2010-07-29,1984.46,1993.87,0.005162253041141707,2866.77,2877.98,0.004979537105582965,4170.76,4194.04,0.00762074996636497,4272.65,4296.21,0.006880954333993383,974.3,975.36,0.002909935940279551,0.10777940751605652,0.139311262158214,0.16288239029110585,0.16569349403343892,0.10561216971400711,1000,,0.006880954333993383,1.0916940429259745,1.122938858324554,1.1442462206677162,1.1491063834339912,1.091348520789509,1.0280151212688218
2010-07-30,1990.45,1986.76,-0.0035659295741446995,2871.48,2868.85,-0.0031723639497147627,4181.22,4191.13,-0.0006938417373224537,4289.97,4299.04,0.0006587201277403754,971.66,968.43,-0.007105068897637845,0.09609506890730346,0.13209371337471532,0.1688848108255847,0.17461713957840952,0.10916025288620124,1000,,0.0006587201277403754,1.0878011388523872,1.1193764875726715,1.1434522948820434,1.1498633229376742,1.0835944143579643,1.028692295520823
