holding_days,window_train,annual_ret,total_ret,sharpe,annual_vol,days,max_drawdown,calmar_ratio,risk_adjusted_ret,annual_ret_norm,max_dd_norm,composite_score
5,20,0.09042272192461875,0.6914326330560912,0.2778112350537356,0.2534912668704606,1530,-0.4965012161721315,0.18211983974933546,0.04552773051945108,0.8505106923554894,0.43581563011006075,0.4646127956158243
35,70,0.10079717349396322,0.749692001753496,0.3256093718819309,0.2481414248827612,1468,-0.4459642869657455,0.22602072955161417,0.05584523388856537,0.8939452179502618,0.6131071080020696,0.44182952016456234
30,150,0.07874902433800357,0.5190946488739621,0.2343293726396023,0.2507113115023755,1390,-0.5005089354455496,0.15733789900853962,0.03933443399921372,0.8016366373538998,0.4217559220091022,0.4346188695449991
30,160,0.08711526431228145,0.5799817156038278,0.26807238169589437,0.25036247258181965,1380,-0.47668174560806165,0.18275351450925825,0.04558900805079545,0.8366634203954771,0.505345442912717,0.43406076140301886
35,20,0.10238999131615678,0.7989519021663816,0.32173431634095634,0.25608083170352397,1518,-0.40630714990855465,0.2520014509693003,0.06078820576532746,0.9006138390338385,0.7522305677817921,0.4047605169891493
20,280,0.10123214070971653,0.6257593173705065,0.3536866994010589,0.22967259115843736,1270,-0.40696101572286114,0.24875144497539595,0.06003460590269069,0.895766287193223,0.7499367039008262,0.4020553898650082
35,60,0.0875785278984853,0.6362304012561342,0.271458556665463,0.24894602229012425,1478,-0.44468039794985426,0.19694712944905066,0.04863407326072445,0.8386029575322212,0.6176111921371998,0.4017387126313949
15,20,0.06424497384509253,0.4594230130086221,0.1725089939043439,0.2564792295387586,1530,-0.50801596356287,0.12646250994658326,0.031607501553106467,0.7409127958909218,0.3954200893735012,0.4000129303115949
35,50,0.12612863930384455,1.0165773151978637,0.42023745773619786,0.25254445397503406,1488,-0.3356804824319314,0.37574016335436083,0.08378971681384695,1.0,1.0,0.39999999999999997
35,80,0.05979740937156253,0.3993689206573279,0.16459025728373494,0.2417968719919813,1458,-0.5172900303438461,0.1155974518430498,0.02886480566326356,0.722292259502207,0.3628852078227506,0.3967390193047197
5,50,0.03927902033899877,0.2577554062790761,0.08285478704581509,0.23268444740963865,1500,-0.5731991457834968,0.06852595756280987,0.016764319433472077,0.6363882974815235,0.16674725762299694,0.39544763095016733
40,70,0.0415500040112069,0.2674288377848766,0.08762927650485768,0.24592242308439333,1467,-0.5541522003931008,0.07497940815128486,0.018524977862054433,0.6458961830575961,0.23356693089204472,0.38205724887270387
25,20,0.04597007997316882,0.31257012804720796,0.10207659275619045,0.25441758264010883,1525,-0.5395820440105714,0.08519571858152526,0.021165450257916954,0.6644016338004544,0.2846813258254412,0.37967674591268563
25,110,0.04563988726266022,0.2893491211636927,0.11295690707149797,0.22698821990966006,1435,-0.536460897237621,0.08507588809859593,0.021155872391909646,0.6630192220517532,0.29563079847413404,0.375424215893987
45,50,0.06494464998524885,0.44780141928469774,0.18740240105698422,0.23982963789019085,1482,-0.4786661876158662,0.1356783739179996,0.03385784197076296,0.7438421171195708,0.49838370895144185,0.371174369298267
5,60,0.04986895310617068,0.3334152880548118,0.12766837556916102,0.23395733652136858,1490,-0.5168840733631077,0.0964799568725308,0.024092485490299374,0.6807249742444486,0.36430936861379837,0.3672146713869745
35,200,0.07214420484483308,0.44753841818810725,0.19795754454788458,0.26341105090955375,1338,-0.45073383415336865,0.16005943947017962,0.039626370783175435,0.7739843610472986,0.596374788032329,0.3628766163234103
25,80,0.03814783365757246,0.24314773208569096,0.07892973818798758,0.2299239054150873,1465,-0.5400503802078688,0.07063754615428494,0.01754608158669392,0.6316523790054028,0.2830383289541814,0.35724516661752753
35,230,0.05124629924838975,0.296153946021964,0.11778376022848251,0.2652852921979796,1308,-0.5029996998682866,0.10188137142389725,0.025469426107089303,0.6864914840080925,0.4130179295643204,0.3566386599363686
40,50,0.06772253755470503,0.47206573782410133,0.19610548105084552,0.24335137038995713,1487,-0.4564694077231527,0.14836161286799432,0.03680927094759986,0.7554722479200724,0.5762534959254698,0.35595452476640965
20,300,0.07078310603433069,0.4038765563091282,0.22083126440302503,0.22996338933987936,1250,-0.4429361807750043,0.15980429936990398,0.039430707384092094,0.7682858736885576,0.6237301796884794,0.35068105767544644
35,170,0.07414735438196995,0.474457978344327,0.20878399163727307,0.25934629354170907,1368,-0.4327863160364992,0.1713255517434537,0.0420573940351444,0.7823709103756527,0.6593374979041293,0.3498583878917181
15,70,0.06185192709409382,0.42257131815896787,0.16682988224104672,0.2508658912413749,1480,-0.4635567993997062,0.1334290148999873,0.03318004573365172,0.730893871067669,0.5513898137732722,0.34620876561538666
20,290,0.05606135729162576,0.313547425189324,0.15766709852558056,0.2287183415490773,1260,-0.4783749817763492,0.11719123998385785,0.029243006518886887,0.7066505989667315,0.4994053047323789,0.34483382785699834
20,180,0.06896688943014051,0.4370252314806964,0.20360772219844042,0.24049622922659256,1370,-0.4418375072603825,0.15609107035247038,0.0384947309208248,0.7606819530327948,0.6275844987812091,0.3442020174885936
15,30,0.07006710382012238,0.5045262229348015,0.19790847892204816,0.25298109556914294,1520,-0.4375340681514446,0.16014090997794006,0.039410358842114614,0.7652882003859186,0.642681638469417,0.34289724872931787
30,30,0.03736568633040371,0.24584733381443313,0.07696085746998407,0.22564309833965404,1510,-0.5276230733705561,0.07081890125028958,0.017650688070155927,0.6283777771747694,0.32663527142780946,0.3418738625939957
35,180,0.06021314300362213,0.37038010638467833,0.15460932717295114,0.2600951943774929,1358,-0.4637256625105124,0.1298464757754422,0.032290763372427235,0.7240328038540316,0.550797415482628,0.34158373805303377
5,110,0.03672479294207198,0.22886910766320123,0.0724399807489794,0.23087793189823036,1440,-0.52677411581118,0.06971639615496185,0.01737912261166335,0.6256945606121445,0.3296135477642031,0.3391021280992401
15,40,0.06801156682396914,0.48329982023318463,0.19180665035512598,0.25031231573606405,1510,-0.43927243018472406,0.1548277609759591,0.03813596058453346,0.7566823214463285,0.6365831916735532,0.33870266751036393
