trade_date,strategy_ret,cum_ret,position
20190314,-0.0022903590796952145,0.9977096409203048,-1
20190315,0.01319221989772601,1.0108716458974065,1
20190318,0.008629115447523539,1.0195945740324834,1
20190319,-0.0012396761561407343,1.018330606950125,1
20190320,0.00034561881344663536,1.0186825611661954,1
20190321,0.0012234888069526662,1.0199289078776201,1
20190322,0.0004291249441039646,1.020366584813203,1
20190325,-0.01567662974280526,1.004370675661156,1
20190326,0.0008501257778902316,1.0052245170630925,1
20190327,0.00764092388201032,1.0129053610823022,1
20190328,0.0017215273512539708,1.0146491053656372,1
20190329,-0.010509776124934866,1.003985370422879,1
20190401,-0.01115773191667424,0.9927831708114375,1
20190402,-0.025872426479495836,0.9670974612145379,-1
20190403,-0.0008660289153548106,0.9662599268491598,1
20190404,0.0073805598213289025,0.9733914660422228,-1
20190408,0.0037842141639676807,0.977074987815105,-1
20190409,-0.0040434212168427575,0.9731242620789271,-1
20190410,0.01506537951787068,0.9877847484051941,-1
20190411,0.0007255688798750715,0.9885014542786522,-1
20190412,0.002864380111244569,0.9913328981842242,-1
20190415,0.019483372545707534,1.0106474063563633,-1
20190416,0.0027343902913650187,1.0134109108122973,-1
20190417,-0.013790651281278432,0.9994353143366421,-1
20190418,0.003295045976623001,1.0027284996480421,-1
20190419,-0.0048083325078370764,0.9979070476066497,-1
20190422,0.014288022983039661,1.0121651664377906,-1
20190423,0.010891987299197159,1.0231896565753207,-1
20190424,-0.004724871643986717,1.0183552167805474,-1
20190425,0.00314482129471072,1.0215577619518585,-1
20190426,0.01607355609417538,1.037977827942032,-1
20190429,-0.018529451882076775,1.0187446677245175,-1
20190430,0.009788254021608322,1.028716399315364,-1
20190506,-0.0027925699658514214,1.0258436367952573,-1
20190507,-0.006339387249386652,1.019340416724293,-1
20190508,-0.0021684355191342597,1.017130042758579,-1
20190509,0.006782938222045121,1.0240291730023967,-1
20190510,-0.012796111685438705,1.0109255813355107,-1
20190513,0.0027863256148713544,1.0137423491775146,1
20190514,-0.005201947972540477,1.0084689142195322,1
20190515,-0.0036545948113608784,1.0047833689582069,1
20190516,0.006853076082734999,1.0116692258323443,1
20190517,-0.004793216241495979,1.006820076468063,1
20190520,0.012896502292091716,1.0198045338919575,1
20190521,-0.003886434090195956,1.0158411307861033,1
20190522,-0.0006511985934727349,1.0151796164705436,1
20190523,0.002392279487608562,1.0176082098432644,-1
20190524,-0.019196894077675886,0.9980732928263298,-1
20190527,-0.004799845324639951,0.9932826953981094,-1
20190528,0.006503870685418134,0.9997428776030423,1
20190529,-0.011084590360251334,0.9886611373392337,1
20190530,0.0012713082624284944,0.989918030411875,-1
20190531,0.012133236192554353,1.0019289396861304,-1
20190603,-0.012786880941662582,0.9891173936223576,-1
20190604,-0.0034085427196282048,0.9857459447314685,-1
20190605,-0.000517722661877329,0.9852356017170273,1
20190606,0.005486157987842022,0.9906407598832935,-1
20190610,-0.006005693915002941,0.9846912746997085,-1
20190611,0.004065330473240758,0.9886943701454796,1
20190612,0.004492356679772769,0.9931359379034563,1
20190613,0.01072383256513898,1.0037861614159553,1
20190614,0.0043908101930937304,1.008193595925187,1
20190617,0.003763686767236374,1.011988120820983,1
20190618,-0.005976620019977674,1.005939852358105,1
20190619,-0.0002142468068936365,1.0057243329568102,1
20190620,0.0007234221171863453,1.0064518961830635,1
20190621,-0.004742518201754975,1.0016787797462245,1
20190624,0.002367538869400665,1.0040502931919275,1
20190625,0.0011876175498780617,1.0052427209410826,1
20190626,0.0039736978675295465,1.0092372517976358,1
20190627,0.00886102658635246,1.018180129917752,1
20190628,0.004358726370041088,1.0226180984994764,1
20190701,0.01621348504443687,1.039198301745668,1
20190702,-0.006384501729924774,1.032563538390438,1
20190703,0.0011456051309852722,1.0337464484780863,1
20190704,-0.0008105540182969939,1.0329085411403722,1
20190705,0.012377913342397795,1.0456937935532302,-1
20190708,-0.009336181597556892,1.035931006401179,-1
20190709,-0.008773072435432905,1.0268427086439107,-1
20190710,-0.005198675302347078,1.0215044868150884,-1
20190711,0.0013750378540898778,1.022909094152582,1
20190712,0.012082590851417274,1.0352684862154216,-1
20190715,-0.01784090220359258,1.016798362398391,-1
20190716,0.005884173911075763,1.0227813807952402,1
20190717,-0.004096445322974596,1.018591612791456,1
20190718,-0.0006187197453417781,1.0179613900481825,1
20190719,-0.006650895968471904,1.011191034743051,1
20190722,-0.02405071646506829,0.9868711658744269,-1
20190723,-0.0006192124560562284,0.9862600829559948,1
20190724,0.008355115748328368,0.994500400107048,-1
20190725,0.010214771811656753,1.0046589947607427,-1
20190726,-0.007924507230115063,0.9966975672929611,-1
20190729,0.005985696083189107,1.0026634960176308,-1
20190730,0.005121133114047494,1.0077982692493332,-1
20190731,-0.014820554575051492,0.9928621399992811,-1
20190801,0.002557620708949049,0.9954015047696747,-1
20190802,0.0011798839258490013,0.9965759630049184,-1
20190805,-0.0029712349215673672,0.9936149017016435,-1
20190806,0.0091280416176448,1.0026846598762882,-1
20190807,0.02888130112643994,1.0316434974730373,-1
20190808,-0.014078771360576559,1.0171192245464888,-1
20190809,0.0012892967571268565,1.0184305930643078,-1
20190812,0.015239921277738877,1.0339513951294488,-1
20190813,-0.003390702600976514,1.0304455734447,-1
20190814,-0.02136317730556181,1.0084319819554695,-1
20190815,0.014469570791639574,1.0230235599069275,-1
20190816,0.0026696503474603617,1.0257546751090931,-1
20190819,0.011636968605114095,1.0376913500598866,-1
20190820,-0.0008289122937897853,1.0368311949426625,-1
20190821,0.0012002982470840085,1.0380757016084743,-1
