momentum_days,final_net_value,small_net_value,excess_return,annual_return,small_annual_return,max_drawdown,trade_count,sharpe_ratio,profit_factor
1,1.2496796653543767,0.9435331790768037,30.6146486277573,9.738853392788794,-2.3943511332351397,-15.757140567395533,374,0.5350966214990766,1.1955601804722142
2,1.067108699949028,0.9431642435975747,12.394445635145335,2.7484078443852367,-2.4129871154983995,-18.932447011516533,255,0.06561191476662516,1.0721390301255302
3,1.0265452808287958,0.938916254787464,8.762902604133183,1.1034298070525583,-2.605516776205541,-22.25672673173143,213,-0.05037748633581533,1.0377504934526633
4,1.0017355498314935,0.9376312848932942,6.410426493819932,0.07274287658289857,-2.664384299764322,-20.991863185234134,187,-0.12528528265218775,1.0202406897136098
5,0.9060131159518686,0.9429538955296557,-3.6940779577787075,-4.059080988481467,-2.4358217513831604,-26.256285053127677,149,-0.4201690459991387,0.9468764215860632
6,0.8608692310168812,0.9427766631454715,-8.190743212859031,-6.102635474979379,-2.4462980101165877,-27.983864954022504,145,-0.5565162175319779,0.9131956248109827
7,0.9117091725200427,0.9361773403334491,-2.446816781340644,-3.814912433311035,-2.7370037388672497,-25.350868853724872,148,-0.40802420811006923,0.9496789474727647
8,0.8989648285327357,0.925711437142236,-2.674660860950029,-4.397850985996965,-3.206946817187606,-21.76010777525187,122,-0.45602259788155897,0.9368379595905414
9,0.9588103889016512,0.9247360243324932,3.407436456915791,-1.762423741581598,-3.2537253285218504,-17.37231575614464,129,-0.2607193760482322,0.9856964543713052
10,0.8154650881989369,0.9219073625125838,-10.644227431364683,-8.271595785955066,-3.3827891223844553,-23.078528699546517,117,-0.723557540627509,0.8685419028582168
11,0.7766585852610429,0.9140512939834029,-13.739270872235998,-10.15624597564635,-3.7363561647373533,-24.220842561789972,114,-0.8729583895094953,0.8319671173638313
12,0.8220528756675939,0.9071634719568409,-8.5110596289247,-7.976422847789144,-4.048993658307398,-21.738382314569257,104,-0.7065897389492564,0.8729619493248496
13,0.8031409037904779,0.902558806741753,-9.941790295127518,-8.98006365441586,-4.304823834525628,-21.813488234204566,100,-0.7694656504655011,0.854318830206779
14,0.8342011547107476,0.9017231740378271,-6.752201932707946,-7.4940656818022315,-4.347857293808621,-21.2793334135213,106,-0.67367923768487,0.878528790975475
15,0.8570550445139036,0.890850901940087,-3.3795857426183407,-6.420753367038801,-4.850717374101288,-19.86064997902,97,-0.5964183110829516,0.8990960755126856
16,0.9088421420451888,0.8902585062048312,1.8583635840357604,-4.033385198624262,-4.883552451462625,-20.14221020538122,87,-0.3850479390426816,0.9467946154085957
17,0.9922280827339364,0.8939711408482207,9.825694188571566,-0.33589050272260224,-4.718335234529847,-17.29193933942183,84,-0.15958529918605202,1.0128485379927674
18,0.906896140883176,0.8998367097248354,0.7059431158340623,-4.141069590167112,-4.464703614871834,-22.5377837135245,83,-0.3756721608445942,0.9466797841347621
19,1.0159218396288474,0.897713932784261,11.820790684458638,0.6867651889868043,-4.5675885711731645,-16.03719323227134,79,-0.06540749559702108,1.0365037576754403
20,1.045707220525532,0.9047260188403641,14.098120168516793,1.957665511927531,-4.250259593877736,-15.04319681160258,76,0.019974934525163295,1.0610824490597073
21,1.0296907765710468,0.8924410997957059,13.724967677534094,1.2788191170028274,-4.822019273863076,-14.123931061436748,67,-0.026856931738511086,1.0493387877527627
22,0.946756731972828,0.8953026024225117,5.145412955031626,-2.3509667633506037,-4.695049481955838,-16.709033578753765,73,-0.2736683332235784,0.9757595908652896
23,0.9405140825767285,0.8883498096808029,5.216427289592563,-2.6407650102481695,-5.035104307553362,-17.418229164169087,67,-0.30115491512434756,0.9683949884503508
24,0.920828497717323,0.8864908643208561,3.4337633396466893,-3.53947353404932,-5.127840552354945,-16.873196855867285,78,-0.3621032526101905,0.9507465803194449
25,0.9035894525639201,0.8882774543035162,1.5311998260403858,-4.337731592456528,-5.0502379235479955,-20.826322986931743,65,-0.4170453397770879,0.9351837944900534
26,0.8460983357407725,0.9016760626230605,-5.557772688228802,-7.057578491352878,-4.431581258438422,-19.034405410673887,87,-0.6629769283833273,0.8773120389328932
