candle_end_time,big_open,big_close,big_amp,small_open,small_close,small_amp,big_mom,small_mom,style,pos,strategy_amp,trade_time,strategy_amp_adjust,big_net,small_net,strategy_net
2019-04-15,2973.0222,2924.9257,0.001510213044267239,1721.6375,1666.8971,-0.017002889729929804,0.06136877666938223,0.0025707573256688043,big,big,0.001510213044267239,2019-04-15,-0.01627601816214752,1.0,1.0,0.9837239818378525
2019-04-16,2914.9897,3023.0253,0.033539176738745846,1656.7623,1697.5287,0.018376419276270983,0.07002787110799202,-0.005581129148662933,big,big,0.033539176738745846,,0.033539176738745846,1.0335391767387458,1.018376419276271,1.016717274326855
2019-04-17,3017.3947,3017.4162,-0.0018554591653597852,1699.1945,1717.4373,0.011727990224848606,0.07500091560201505,0.005010901035845672,big,big,-0.0018554591653597852,,-0.0018554591653597852,1.0316214870005076,1.0303199279667594,1.0148307969416257
2019-04-18,3014.9149,3004.9245,-0.0041398664194882695,1715.1794,1704.5468,-0.007505659740824289,0.06825887097522476,0.009862432608566785,big,big,-0.0041398664194882695,,-0.0041398664194882695,1.0273507118488514,1.0225866971632502,1.0106295330039046
2019-04-19,3013.6723,3042.4321,0.01248204405801201,1704.7221,1715.7952,0.00659905612447842,0.08543361248894787,0.00700805145040273,big,big,0.01248204405801201,,0.01248204405801201,1.040174148697179,1.0293348041699755,1.0232442553611873
2019-04-22,3047.4255,2970.488,-0.023646904067308627,1720.7757,1697.5121,-0.010655758915749436,0.062637787080154,0.0021528865280557863,big,big,-0.023646904067308627,,-0.023646904067308627,1.0155772503896423,1.0183664606531502,0.9990476966172367
2019-04-23,2967.9958,2978.8451,0.0028133761186714956,1695.2682,1683.8,-0.008077762744666095,0.09589664145580912,0.008963524572408454,big,big,0.0028133761186714956,,0.0028133761186714956,1.0184344511725547,1.0101403379968685,1.0018583935483134
2019-04-24,2989.9591,2974.8473,-0.0013420637414144343,1690.2788,1718.8461,0.020813695213208305,0.09928985186613759,0.05438371213471216,big,big,-0.0013420637414144343,,-0.0013420637414144343,1.0170676472226285,1.0311650911145025,1.0005138357243004
2019-04-25,2962.7414,2927.995,-0.01574948065401538,1709.8287,1669.9777,-0.028430933985305606,0.06799129425118045,0.01966383859836962,big,big,-0.01574948065401538,,-0.01574948065401538,1.0010493599888708,1.0018481044810745,0.9847562624244858
2019-04-26,2913.7749,2892.8568,-0.012000771859241532,1664.043,1657.8243,-0.007277582209630706,0.05811411614220363,0.01905903835504219,big,big,-0.012000771859241532,,-0.012000771859241532,0.9890359949998047,0.9945570725391508,0.9729384271821702
