date,trade_date,rsi_diff,psy6_diff,psy12_diff,vol_ratio_1m,target,ret_100,ret_500,100_close,500_close,pred_prob,position,strategy_ret,cum_ret
2020-12-28,20201228,-13.99363031921829,-0.8333333333333357,0.8333333333333286,1.9959757921472832,1,-0.02129255974956934,-0.016907057374883516,5208.6735,6244.4818,0.5034898651609785,1,0.0043855023746858235,1.004385502374686
2020-12-29,20201229,-12.836560729261258,-0.8333333333333286,0.8333333333333286,2.0641862300823925,1,0.0024769378170625966,0.003704262125550528,5191.028,6199.8523,0.5066118922703681,1,0.0012273243084879315,1.0056182091168433
2020-12-30,20201230,-13.787431521848703,-0.8333333333333286,0.4166666666666643,2.0948198673716574,1,-0.025321732782789708,-0.021774622333495364,5263.933,6269.2484,0.5093288062513033,1,0.003547110449294344,1.0091852479744023
2020-12-31,20201231,-13.325477065501971,-0.8333333333333286,0.0,2.0980252771659464,0,-0.0037933855461833588,-0.010639218178040588,5358.157,6367.1149,0.5158546964081774,1,-0.006845832631857229,1.0022765346722302
2021-01-04,20210104,-13.458697988776954,-0.8333333333333286,0.0,2.0899105588326665,0,0.011340398099297211,0.007428282631965155,5389.6268,6482.7868,0.5154955526760926,1,-0.003912115467332056,0.998355513138395
2021-01-05,20210105,-14.61152068059235,-0.8333333333333357,0.0,2.083003876631476,0,0.012070218535854993,0.009620620282740688,5494.6353,6539.7315,0.5123870856537578,1,-0.0024495982531143046,0.9959099432174241
2021-01-06,20210106,-15.970497341530738,-1.6666666666666643,-0.4166666666666714,2.074572641680174,0,-0.0002442141544967136,-0.00859111456425965,5575.1336,6528.1425,0.514373822653149,1,-0.008346900409762936,0.9875971821042956
2021-01-07,20210107,-17.33162094904946,-1.6666666666666714,-0.4166666666666643,2.0735166655406054,0,0.002025535062271766,-0.011023557695049924,5683.9714,6538.1162,0.5107031526917217,1,-0.01304909275732169,0.9747099348681472
2021-01-08,20210108,-15.313452032120573,-0.8333333333333357,0.0,2.0683069048531855,0,0.009380330425502237,-0.014049640878322278,5652.0757,6557.5964,0.5104939156612723,1,-0.023429971303824515,0.9518725090646338
2021-01-11,20210111,-14.935896599812637,-0.8333333333333357,0.0,2.0573265920822643,1,0.011958984690725094,0.013348240906714937,5599.3104,6455.3987,0.5115122564219521,1,0.0013892562159898425,0.9531949038646818
2021-01-12,20210112,-15.338258745197066,-0.8333333333333357,0.0,2.0235820074036686,1,0.01902751824455473,0.021305668862962257,5772.2353,6543.2286,0.5104270039681852,1,0.002278150618407526,0.955366425424384
2021-01-13,20210113,-15.959228785112863,-0.8333333333333357,0.0,1.9895631496665829,0,0.02309052039434034,0.01041895876254384,5745.515,6496.9131,0.5087519323288594,1,-0.012671561631796502,0.9432604408836698
2021-01-14,20210114,-12.616779707921737,-1.6666666666666643,0.4166666666666643,1.9377775844208405,1,-0.009682802066694696,0.013697506353018696,5632.0864,6439.8854,0.5128578882225991,1,0.02338030841971339,0.9653141609116447
2021-01-15,20210115,-12.34726644977507,-1.6666666666666643,0.4166666666666714,1.8580530166860303,1,0.0036266199770202956,0.013445793990676025,5625.7084,6417.5011,0.5135846619359996,1,0.00981917401365573,0.9747927486354822
2021-01-18,20210118,-10.833342802649213,-1.6666666666666643,0.4166666666666643,1.8095965681773654,1,-0.03698152538731836,-0.006925669272690449,5673.2829,6514.4644,0.5176659770845761,1,0.03005585611462791,1.004090979230053
2021-01-19,20210119,-10.658788455330694,-1.6666666666666643,0.4166666666666714,1.7760909484297895,0,-0.0013948890668624703,-0.003879702979815547,5597.0181,6476.3736,0.5181364087194398,1,-0.0024848139129530766,1.0015959999949915
2021-01-20,20210120,-10.443121630723915,-1.6666666666666643,0.4166666666666643,1.7554445989976843,1,-0.024755572521126146,-0.01433256274712058,5619.183,6535.4185,0.518717595797036,1,0.010423009774005565,1.012035644892544
2021-01-21,20210121,-10.198339881971819,-1.6666666666666643,0.4166666666666643,1.7351191307684968,0,0.009759279305344482,-0.005665888246358275,5705.3413,6622.4959,0.5193771814197389,1,-0.015425167551702756,0.996424825501781
2021-01-22,20210122,-9.561278220720375,-0.8333333333333286,0.8333333333333286,1.7177451046004584,1,-0.025497442461888786,-0.020741149523365587,5699.6285,6637.8052,0.5154457217290391,1,0.004756292938523199,1.0011641138630845
2021-01-25,20210125,-10.07750248926758,-0.8333333333333357,0.8333333333333286,1.7013170452636062,1,0.011958699885062485,0.01949701752082289,5797.2175,6645.3137,0.5140539020963035,1,0.007538317635760405,1.008711206958909
2021-01-26,20210126,-9.201079209271306,-0.8333333333333286,0.8333333333333357,1.6817573512589774,1,-0.014733266337712436,-0.008493661063736946,5673.7799,6532.961,0.5164167327848312,1,0.00623960527397549,1.015005166725768
2021-01-27,20210127,-9.686110474959811,-0.8333333333333286,0.4166666666666643,1.6655080567111125,0,0.023111044676616954,0.014210855898817654,5687.8335,6557.1608,0.5203860089689886,1,-0.0089001887777993,1.005971429131467
2021-01-28,20210128,-8.096345143478906,0.0,0.4166666666666714,1.6610106302765655,1,-0.030603316933648483,-0.018814448912405357,5543.8077,6414.3811,0.5242963257167408,1,0.011788868021243126,1.017830693542639
2021-01-29,20210129,-9.560976815814143,-0.8333333333333357,0.8333333333333357,1.6499170750916097,1,-0.0052738901477790145,0.00023503623099041526,5522.7779,6346.1371,0.5154465342949163,1,0.00550892637876943,1.0234378478994175
2021-02-01,20210201,-8.738335642292157,-0.8333333333333286,0.8333333333333357,1.64792980376714,1,-0.03430933707990336,-0.022969826296771245,5585.4084,6393.278,0.5176639967087571,1,0.011339510783132112,1.0350431324115386
2021-02-02,20210202,-9.325044477187092,-0.8333333333333357,0.8333333333333357,1.6439565301162868,0,-0.019498901037331207,-0.02372071507087481,5652.8255,6454.7853,0.5160825654592139,1,-0.004221814033543603,1.0306733727898005
2021-02-03,20210203,-9.868221689154069,-0.8333333333333286,0.8333333333333357,1.645033256672922,0,0.007816519374324482,-0.007489764207209704,5651.445,6399.3315,0.5146181826547196,1,-0.015306283581534186,1.0148975938659435
