momentum_days,final_net_value,small_net_value,excess_return,annual_return,small_annual_return,max_drawdown,trade_count,sharpe_ratio,profit_factor
1,1.3351174549157991,0.9402918523339197,39.482560258187945,3.4481049816859954,-0.7195122430132983,-33.2879011081157,1405,0.11489506904273109,1.0737179661263485
2,1.813015775393213,0.944374856315904,86.8640919077309,7.2305169453195095,-0.6692577784018661,-19.570869810032736,938,0.3968923882043715,1.1408865525935734
3,2.0250933288168023,0.9379272052375827,108.71661235792196,8.64007302521268,-0.7497888949208331,-23.090777191752785,750,0.4970410334872672,1.1589735352209982
4,1.6994212276265284,0.9410794769156233,75.8341750710905,6.428051894400855,-0.7108990330033205,-26.812972309481133,663,0.33385490640584525,1.124042985588517
5,0.9972297907756984,0.9502888661492347,4.6940924626463705,-0.03259516885539826,-0.5974306122792816,-38.00475780170569,587,-0.13339593410903444,1.0158495600330009
6,1.2589566141998931,0.9592440024480098,29.971261175188335,2.7441203528172142,-0.4879584843996865,-37.85415110252367,522,0.06491985784975642,1.0604478694373167
7,1.2064525843969371,0.9713522821883211,23.5100302208616,2.2316092005184363,-0.34121894042070666,-36.71621324106475,491,0.027531767188472746,1.052418896060747
8,1.1090354422826207,0.9976710101505804,11.13644321320404,1.2256248331145692,-0.02744243679483338,-33.39401413841231,440,-0.04683566436810953,1.0362306260551624
9,1.7839927797777473,0.9893340514226935,79.46587283550538,7.053454403391046,-0.12618281466602044,-22.147929006833948,454,0.3732812319444954,1.1323717064259586
10,1.3948583915293322,0.9915304420645774,40.33279494647548,3.9976247205066207,-0.10013302567178917,-25.396114835659866,405,0.15529828280176436,1.0809343292359166
11,1.3723195719944403,0.9956185102607271,37.67010617337132,3.7995171144191042,-0.05172388750492862,-29.653869981746002,384,0.14133923234474197,1.0782661452685138
12,1.3463676988310858,0.9828808185065977,36.348688032448806,3.567456189846796,-0.20330776575155918,-27.051877859783602,341,0.12467284946950033,1.0753414889917376
13,1.4225091984117082,0.9748917361618418,44.761746224986645,4.245338476738358,-0.29954687247549794,-26.705776736945076,346,0.17282164739769482,1.0854278721713726
14,1.30869774926427,0.9759832676756983,33.27144815885716,3.2258705089324824,-0.2864763598950604,-29.11346724947512,333,0.10074981912970164,1.0694845649154587
15,0.9301584484526658,0.9737241507217955,-4.35657022691297,-0.8510515267542096,-0.31384374730371034,-35.43094444624412,322,-0.18437526323833245,1.0036170881860969
16,1.2231292287681408,0.9668185809738027,25.63106477943381,2.406976045684761,-0.39769226868775487,-33.68908764265311,326,0.047188951422916535,1.056230698118983
17,1.275391849954559,0.9694063827408007,30.59854672137582,2.921883956360549,-0.3671951204501922,-36.09142267328446,331,0.08168440465565027,1.0640281281516732
18,1.521369430208001,0.9613288313861263,56.00405988218746,5.098558997955571,-0.4663008688493897,-33.568439699093446,310,0.22759910362580107,1.0969207347572443
19,1.3602415252984361,0.9618390208197762,39.84025044786599,3.7146412903956927,-0.4601911185708185,-31.53835775493056,314,0.1364349563937293,1.07685294530526
20,1.6579198948935658,0.9563858000647435,70.15340948288224,6.17873020838573,-0.527432689829932,-27.55414378461224,283,0.2979016530200118,1.1146000418729496
21,1.5896308719331278,0.9504069472326087,63.92239247005192,5.652312977619478,-0.60157553996254,-24.276066788099758,285,0.2646470004001631,1.108044550331783
22,1.3423376064198151,0.9495174462938386,39.28201601259765,3.5553830130745423,-0.6128141363117567,-23.21099735911597,267,0.1254426418692582,1.0759039145278484
23,1.4561344087513333,0.944666071741495,51.14683370098383,4.564712946596461,-0.6738626956997562,-25.44448938157376,251,0.19338157059853356,1.092218219284705
24,1.365654866421309,0.9438906758666024,42.176419055470674,3.7722168396888023,-0.6837717814497379,-30.37819208129871,270,0.13999530868250848,1.0787949383077506
25,1.348763279621875,0.9533404009530941,39.54228786687808,3.620068398922527,-0.566331433337719,-29.91238387923383,243,0.12995167292547347,1.0759493735963528
26,0.9172169997417357,0.9461985662308365,-2.8981566489100885,-1.0221390026721844,-0.6553742128490803,-33.148202220285285,274,-0.18648712853454288,1.0018946817184415
27,0.9019890796998767,0.9540256033033682,-5.2036523603491425,-1.2193555443842263,-0.5582020156136847,-37.34044676040658,262,-0.19720579322767717,0.9990848844844016
