date,large_close,small_close,vs_large,vol_ratio,signal,strategy_ret_net,cum_strategy
2022-01-04,3264.0657,7983.0677,0.11714697514490711,,0.0,-0.0015,0.9985
2022-01-05,3254.2793,7781.6778,0.14486318832761666,1.2365935027210515,0.0,0.0,0.9985
2022-01-06,3210.3853,7844.5166,0.14135986489607835,0.9758163307601975,0.0,0.0,0.9985
2022-01-07,3223.267,7682.6973,0.1595020820365985,1.1283406513854375,0.0,0.0,0.9985
2022-01-10,3236.1163,7734.1865,0.15419217987249018,0.966709511899099,0.0,0.0,0.9985
2022-01-11,3214.5287,7646.6932,0.14268554858950316,0.9253747414914137,0.0,0.0,0.9985
2022-01-12,3236.3081,7779.5237,0.15341004384144183,1.075161748039336,0.0,0.0,0.9985
2022-01-13,3184.1069,7644.7873,0.15024680852835798,0.9793805201154023,0.0,0.0,0.9985
2022-01-14,3139.0453,7675.3707,0.1501038654120859,0.999048611297157,0.0,0.0,0.9985
2022-01-17,3147.6987,7808.0861,0.11958384810156704,0.7966740081827268,0.0,0.0,0.9985
2022-01-18,3187.5244,7758.6048,0.1364084060118245,1.14069256155704,0.0,0.0,0.9985
2022-01-19,3187.1921,7665.1848,0.14140795988226268,1.0366513620136049,0.0,0.0,0.9985
2022-01-20,3233.7011,7492.6095,0.16765877964265627,1.1856389115736499,0.0,0.0,0.9985
2022-01-21,3218.7352,7388.7443,0.1547306257835064,0.9228900873148153,0.0,0.0,0.9985
2022-01-24,3209.7445,7425.402,0.15476610834253618,1.0002293182674735,0.0,0.0,0.9985
2022-01-25,3144.949,7133.0663,0.14510240117617657,0.937559280453241,0.0,0.0,0.9985
2022-01-26,3163.6743,7171.0289,0.1445806844362571,0.9964044927190004,0.0,0.0,0.9985
2022-01-27,3119.2386,6960.1096,0.17483739597158351,1.2092721559128186,0.0,0.0,0.9985
2022-01-28,3054.0209,6973.0104,0.1944788064336447,1.1123410146491401,0.0,0.0,0.9985
2022-02-07,3114.2603,7061.6204,0.2004331024991224,1.0306166835074098,0.0,0.0,0.9985
2022-02-08,3116.5048,7080.6181,0.20055731896789933,1.0006197402885457,0.0,0.0,0.9985
