holding_days,window_train,annual_ret,total_ret,sharpe,annual_vol,days,max_drawdown,calmar_ratio,risk_adjusted_ret,annual_ret_norm,max_dd_norm,composite_score
35,50,0.16989558101028157,1.5257618729445013,0.7311572704881535,0.20501140734086465,1488,-0.21635063608152816,0.7852788606836323,0.13313856399126636,1.0,0.9113948259821314,0.42658155220536054
35,20,0.14964353705549338,1.316440738607596,0.6302211009109913,0.20571119701973212,1518,-0.23957146193547296,0.6246300617216207,0.11379321611391371,0.940458495757753,0.8735212702953822,0.3962645659418125
35,40,0.12340157032944932,0.9971130897640623,0.5019625123588899,0.20599460673573156,1498,-0.31628854693414077,0.3901550388896776,0.08437106696055661,0.8633064721579701,0.7483944204108195,0.3797962043873332
40,220,0.14306680032310148,1.0113761722288017,0.581295027512678,0.21171142792962805,1317,-0.2075210047211603,0.689408768598321,0.11337743417780984,0.9211227290111441,0.9257961025398103,0.3670470795458578
35,170,0.12614859822576752,0.9058597839940707,0.5069703517455895,0.20937831543852403,1368,-0.25389219335836277,0.49685890911861075,0.09412045393314453,0.871382801317997,0.8501639176141614,0.35491878563834944
15,40,0.11226191814907005,0.8918020220008267,0.4475606451044072,0.20614394754826385,1510,-0.29434236932600144,0.38139911153848666,0.07921847917599113,0.8305556224641844,0.7841890034709199,0.34613223468365306
25,50,0.09349766679465765,0.6993721598307838,0.3559041615150029,0.2065097145304366,1495,-0.34077462986201057,0.2743680385846726,0.0616360339997466,0.7753882648327497,0.7084572092559676,0.33023462260613445
35,60,0.09593460365259565,0.7113548499360018,0.36923187489019027,0.20565560239125788,1478,-0.3242488637448928,0.29586720071923983,0.06482791742442487,0.7825529187604683,0.7354110104359771,0.3271637400015346
20,360,0.05988093893066182,0.316041404362152,0.19015771895044506,0.20972558542866596,1190,-0.46909537097028764,0.1276519501925647,0.03179106766893387,0.6765542632281196,0.4991639324062276,0.32383880453781544
20,60,0.10531045271285056,0.8076294825482948,0.4134919969986722,0.20631705893239938,1490,-0.25731014331556123,0.409274392979135,0.07821300503268035,0.8101181441689312,0.8445891840171439,0.3137059457131087
40,200,0.10045463252692777,0.6617409190627155,0.38100994903490226,0.211161500456141,1337,-0.27365751028226903,0.36708158465416135,0.07296446789328848,0.7958419141328339,0.8179263548378728,0.3117114334416219
5,50,0.03994993666933344,0.26259620896529934,0.09646245084786773,0.20681556910467436,1500,-0.49881837873194323,0.08008914340905206,0.020022174029492724,0.6179566294117788,0.4506852091808215,0.29736407783399865
25,20,0.0662797039397387,0.47456748548466865,0.22271456156420955,0.20779828500973907,1525,-0.3878711943566795,0.17088070705964584,0.04057171601102513,0.6953667887580682,0.6316419241639258,0.29726417488146994
35,30,0.08485967909692405,0.6280956780841969,0.31478975917732427,0.20604126152778662,1508,-0.3053610835282293,0.2778994563302928,0.05894683554002948,0.7499923698654427,0.7662172961526998,0.2951294700599999
40,170,0.08403217779500127,0.5491372142629822,0.30515443696776523,0.20983531627877086,1367,-0.30828055534284127,0.27258345146533297,0.05812669135768991,0.7475594958114019,0.7614555887508153,0.2948549704427367
5,370,0.04681303546352589,0.23890484834016346,0.12740827194398133,0.210449722411391,1180,-0.4591642157951171,0.1019527085368827,0.025318164745927015,0.6381343076195507,0.5153618127454693,0.2920854715100447
20,270,0.05406143680077413,0.30660519318379786,0.16184325668967348,0.21045941299911722,1280,-0.4257599017011253,0.12697634649193468,0.03104424478265494,0.6594447847217514,0.5698448082243548,0.29065790683791953
20,370,0.02437862796714718,0.11939083966976405,0.020897161331785083,0.20953218945040078,1180,-0.5466798838867202,0.04459397297340244,0.011051322460749611,0.5721766012221126,0.3726222930669599,0.2887369329353908
5,20,0.07070488821483245,0.514042209463268,0.2420765204083573,0.20945810080754093,1530,-0.34965210523642354,0.20221496497790017,0.04598277520001029,0.7083769386904124,0.6939778983104674,0.28767048759014846
40,190,0.0677212303565462,0.41943050639468793,0.22650828729586786,0.2106820502077796,1347,-0.36163211595895295,0.1872655313728632,0.043231058527364724,0.6996049116583181,0.6744383002754349,0.2873919480781921
15,20,0.05958767514030083,0.4210746130528915,0.18978493569121319,0.20859229419932138,1530,-0.3944503304040474,0.1510650912099969,0.03608329699320013,0.6756920605162918,0.6209112431352682,0.2867110694208238
40,320,0.0809043043041986,0.45603209195882655,0.2874176739192491,0.21190173684764368,1217,-0.299276732900691,0.27033275697728587,0.05669152843443472,0.7383634712946859,0.7761409738788576,0.2840121377426229
35,70,0.0972111781560534,0.7167479592705814,0.3750943003913872,0.20584471178444572,1468,-0.22268636845121237,0.4365385220126354,0.07556357391961804,0.7863060790035954,0.901061140426378,0.28009591317460336
20,300,0.020802152664325613,0.1075237843853416,0.0038052642342711962,0.21080077885294204,1250,-0.5422465102574652,0.038362907406169384,0.009522257976252018,0.5616616764130098,0.3798531996713962,0.27920721358768796
20,170,0.03449979426300698,0.20411099889849615,0.06930796739786205,0.2092081878519244,1380,-0.48153834669752726,0.07164495724922532,0.017886820372193763,0.6019330775208391,0.4788692306984319,0.2776923850550578
40,210,0.09022900928010325,0.5760268849562489,0.33200468050939785,0.2115301783467336,1327,-0.24266660346927205,0.37182293727339616,0.06833344206370316,0.7657783318450583,0.8684730426407745,0.27550291949930844
40,70,0.051345912657549064,0.3384145074740701,0.15211379607187098,0.20606883443194524,1467,-0.4050549764630269,0.1267628239156713,0.030547995214572892,0.651461077365856,0.6036148878902288,0.2749382877890305
35,180,0.07876227999856034,0.5046421436201556,0.2796594064981137,0.2101208778720507,1358,-0.2875109593863967,0.2739453138296157,0.05611726131271425,0.7320658674791954,0.7953311474409062,0.273846763003165
20,80,0.10754279851086102,0.8145531170947078,0.4250822136224938,0.20594321687758466,1470,-0.16202551982772873,0.6637398764417132,0.09011812067841007,0.8166812953796996,1.0,0.27167690676578965
20,350,0.0093340541385325,0.04523497779126684,-0.05055439762230222,0.21097958561694322,1200,-0.5715868767404582,0.016330070752780482,0.00399883128616236,0.5279451864355833,0.3319985707769424,0.2699620592718256
35,260,0.07655823367887415,0.45370414588891106,0.2692248110278043,0.21007808850512322,1278,-0.28854428338319926,0.26532576830573185,0.0544677930049199,0.7255859174264169,0.7936457787041733,0.26981640858723976
45,20,0.0850694347170764,0.632094044935106,0.31574112276405536,0.20608476383261926,1512,-0.25009567102220864,0.3401475698054853,0.0637939373580292,0.7506090565156899,0.8563561090985954,0.26851950683140424
